实践是检验真理的唯一标准	plju
民族资本主义	npky
以成败论英雄	npmd
事实并非如此	npuc
物质文明建设	nrcy
习近平总书记	nrfy
性格决定命运	nsuc
以自我为中心	ntrn
敢怒而不敢言	nvdy
NVIDIA	nvia
神圣不可侵犯	ocgv
神圣罗马帝国	ocll
广大人民群众	odww
全面贯彻落实	odxp
Office	offe
神不知鬼不觉	ogci
烂泥扶不上墙	oirf
全世界范围内	oklm
全国代表大会	olho
全国各族人民	olon
全国人大代表	olwg
Online	onle
社会主义阵营	ooba
社会主义制度	oobl
社会主义国家	oobp
社会主义建设	ooby
精神文明建设	oocy
个人网上银行	owmh
双拳难敌四手	oxcc
各级有关部门	oxeu
会议上的讲话	oyhy
会计师事务所	oyjl
生态文明建设	pdcy
密克罗尼西亚	pdlg
生于斯长于斯	pfhh
放长线钓大鱼	phxc
牛头不对马嘴	pigk
成败在此一举	pmdc
穷则独善其身	pmvy
家丑不可外扬	pngr
生米煮成熟饭	pofh
完全没有必要	pois
实迷途其未远	powf
农村金融机构	psbs
农村商业银行	pseh
农村合作银行	pswh
农村合作金融	pswr
生命财产安全	pwmo
审计师事务所	pyjl
乌孜别克斯坦	qbvf
银行从业人员	qhak
银行承兑汇票	qhbb
贸易保护主义	qjmy
解释就是掩饰	qmyh
qq.com	qqcm
重要组成部分	qsxm
外交部发言人	quuw
乌兹别克斯坦	quvf
千里始于足下	quvg
急人民之所急	qwnq
拆东墙补西墙	raff
恭敬不如从命	ragw
捷克斯洛伐克	rdhd
据不完全统计	rgpy
提高服务水平	rhef
反其道而行之	rhqp
抛头颅洒热血	riht
我的意思是说	rkxy
我国商业银行	rleh
我国改革开放	rllp
我国网上银行	rlmh
我欲乘风归去	rmtl
批判现实主义	rogy
摸着石头过河	rpdi
兵家必争之地	rpnf
披着羊皮的狼	rppv
攘外必先安内	rqnm
把握历史机遇	rrdj
拍拍屁股走人	rrnw
拒人千里之外	rwqq
持续快速增长	rxnh
持续健康快速	rxwu
忠臣不事二主	sagb
五十步笑百步	sfcc
中小金融机构	sibs
可遇而不可求	sjdf
吾日三省吾身	sjdy
丁是丁卯是卯	sjsq
中国工商银行	slah
中国矿业大学	sldi
中国商业银行	sleh
中国政法大学	slgi
中国农业银行	slph
中国农村金融	slpr
中国科技大学	slti
中国交通银行	sluh
中国人民银行	slwh
中国人民大学	slwi
中国经济时报	slxr
中央国家机关	smls
中央广播电台	smoc
中央人民政府	smwo
中央音乐学院	smxb
可以肯定的是	sncj
西方资本主义	spky
西安交通大学	spui
查拉图斯特拉	srlr
朽木不可雕也	ssgm
中信嘉华银行	swfh
要什么有什么	swoo
中信实业银行	swph
送佛送到西天	swsg
构建和谐社会	swto
中级人民法院	sxwb
可望而不可及	syde
可望而不可即	sydv
自主知识产权	tbcs
第一个吃螃蟹	tgoq
科学社会主义	tioy
香港中文大学	tisi
稳定压倒一切	tpda
自我保护意识	trmy
坚持就是胜利	tryt
种种迹象表明	ttpj
想人民之所想	twnt
简约而不简单	txdu
整存零取喷气	udfe
里三层外三层	udnn
立于不败之地	ufgf
美索不达米亚	ufgg
剪不断理还乱	ugoq
问题的关键是	ujkj
亲兄弟明算账	ukum
并非空穴来风	umpn
前怕狼后怕虎	unvh
产业结构调整	uoxu
Update	upde
闲着也是闲着	upmp
闻名不如见面	uqgd
美利坚合众国	uttl
前言不搭后语	uygy
北京师范大学	uyji
刀子嘴豆腐心	vbkn
好马不备双鞍	vcgq
别有一番风味	vegk
麻省理工学院	vigb
麻省理工大学	vigi
加州理工学院	vjgb
狗肉不上宴席	vmgl
好心不得好报	vngr
九牛二虎之力	vpfl
如入无人之境	vtff
市委、市政府	vtvo
9·18事变	vugp
9·11事件	vugw
好人一生平安	vwgp
市级文明单位	vxcw
魔幻现实主义	vxgy
加强制度建设	vxly
加强风险防范	vxna
使功不如使过	wagf
人死不能复生	wbgp
信用工程建设	weay
人有旦夕祸福	wejo
值得一提的是	whgj
值得注意的是	whij
值得庆幸的是	whoj
何尝不是如此	wigc
倒吸一口凉气	wkge
人力有时而穷	wlep
人民代表大会	wnho
人民内部矛盾	wnmr
企业网上银行	womh
什么也不知道	womq
倒抽一口冷气	wrge
人算不如天算	wtgt
人人生而平等	wwpt
建设社会主义	wyoy
来无影去无踪	xfkl
井水不犯河水	xhgh
经济发展水平	xihf
经济社会发展	xion
经济体制改革	xiwq
经济合作组织	xiwx
绿色和平组织	xqtx
给我上了一课	xrhy
维护世界和平	xrkf
强扭的瓜不甜	xrkq
就在这个时候	ydcw
说曹操曹操到	yera
讽刺意味的是	yexj
说一套做一套	ygdd
说不清道不明	ygij
谦虚使人进步	yhwc
说时迟那时快	yjnn
永世不得翻身	ykgy
言必行行必果	ynhj
哀民生之多艰	ynpc
言必信行必果	ynwj
哀莫大于心死	ysdb
让别人说去吧	yvwk
良禽择木而栖	ywrs
计划经济体制	yxxl
谣言止于智者	yycf
某年某月某日	aaaj2
AAAAA级	aaax2
劳动力密集型	acle2
英雄不问出处	adgt2
东一句西一句	agss2
毕其功于一役	ahah3
敬鬼神而远之	aqop2
从整体上来讲	auwy2
出污泥而不染	biii2
阿那克萨戈拉	bodr2
出乎意料之外	btxq2
联合国秘书长	bwlh2
又恐琼楼玉宇	cagp2
大东亚共荣圈	dagl2
在某种意义上	dath2
三年自然灾害	datj2
碰了一鼻子灰	dbgd2
在这个问题上	dcoh2
大行不顾细谨	dhgy2
夏虫不可语冰	djgu2
雄赳赳气昂昂	dkkj2
达则兼善天下	dmug2
“三个代表”	dohg2
盘古开天辟地	edef2
用心何其毒也	enwm2
真金不怕火炼	fbgo2
博采众家之长	fewh2
地球人都知道	fgwq2
远水难救近火	fhco2
雷鸣般的掌声	fkef2
士为知己者死	flcb2
需要指出的是	fsrj2
一切皆有可能	gaaj2
一年不如一年	gaga3
一马不备双鞍	gcgq3
不知天上宫阙	gcgu2
不知其所以然	gchq2
天有不测风云	gegc2
不幸中的大幸	gfsf2
一天不如一天	gggg4
一不做二不休	ggww2
不得其门而入	ghht3
不得已而为之	ghlp2
不食人间烟火	ghwo2
政治协商会议	gify2
一浪高过一浪	gihi2
政治体制改革	giwq2
天时地利人和	gjft3
“一国两制”	glel2
一回生两回熟	glpy2
一山不容二虎	gmgh4
政府管理部门	gotu2
一客不烦二主	gpgb2
万变不离其宗	gpgp2
天机不可泄露	gsgf2
不问青红皂白	gugk2
水至清则无鱼	haic2
睁只眼闭只眼	hkhh2
睁着眼说瞎话	hphy2
热锅上的蚂蚁	hqhj2
很久很久以前	hqhu2
高级人民法院	hxwb2
濯青涟而不妖	igiv3
江山如此多娇	imvv2
小桥流水人家	isip3
时间就是金钱	juyq2
最低生活保障	jwpb2
吃不了兜着走	kgbk2
吃不饱穿不暖	kghj2
国际先进水平	lbef2
为往圣继绝学	lhci2
改革开放以前	lqeu2
男女授受不亲	lvru2
华东师范大学	maji2
看得见摸得着	mhmp2
公道自在人心	mqtn2
以下几个方面	ngnd2
忙得不亦乐乎	nhgt2
以法律为准绳	nihx2
以事实为根据	nnpr2
尽人事听天命	nwnw2
视功名如粪土	oaqf2
社会主义社会	oobo2
社会化大生产	oohu2
个人英雄主义	oway2
PageUp	pagp2
冤有头债有主	peib2
名不正言不顺	qggj2
外行领导内行	qhdh2
危急存亡之秋	qqdt2
外来务工人员	qxtk2
打肿脸充胖子	reeb2
拉赫玛尼诺夫	rfga2
掷地作金石声	rfwf2
打是亲骂是爱	rjuj2
撒哈拉大沙漠	rkri2
卑之无甚高论	rpfy2
挂羊头卖狗肉	rpim2
中国石油大学	sldi2
中国建设银行	slwh2
中国传统文化	slwh3
樯橹灰飞烟灭	ssdg2
第二天一大早	tfgv2
笑一笑十年少	tgti3
香港理工大学	tigi2
香港浸会大学	tiii2
香港科技大学	titi2
想尽一切办法	tngi2
自由贸易协定	tnqp2
亲者痛仇者快	ufun2
姜还是老的辣	ugja2
君子成人之美	vbpu2
占有一席之地	vegf2
市场经济体制	vfxl2
狗改不了吃屎	vlgn2
好男不跟女斗	vlgw2
好男不和女斗	vlgw3
女为悦己者容	vlnp2
恕己之心恕人	vlpw2
好心当驴肝肺	vnie4
既生瑜何生亮	vpgh2
人至察则无徒	waph2
伸手不见五指	wcgr2
何其相似乃尔	whtq3
倒吸一口冷气	wkge2
人力物力财力	wlnl2
人民民主专政	wnng2
人生若只初见	wpam2
传道授业解惑	wqrx2
人人得而诛之	wwhp2
进城务工人员	xftk2
义勇军进行曲	ycpk2
发展中国家	h0
可持续发展	s6
十八大精神	fm8
“十八大”	fm0
特别行政区	nv8
社会生产力	oo5
农村信用社	ps8
艾菲尔铁塔	aaqf
燕云十六州	acfj
从这个角度	acol
劳动生产率	acpa
劳动密集型	acpe
劳动合同制	acwl
到今天为止	adgc
从今天开始	adgv
巨大的差异	adkl
英雄惜英雄	adnd
从总体上看	adwm
从总体上来	adwx
从总体上说	adwy
花无百日红	afdx
东平办事处	aflt
医者父母心	afmn
英吉利海峡	aftm
到现在为止	agdc
从现在开始	agdv
苛政猛于虎	agvh
从理论上讲	agyy
比上年同期	ahah
哥斯达黎加	ahdv
到目前为止	ahuc
从目前来看	ahum
从目前看来	ahux
比学赶帮超	aikk
从明天开始	ajgv
七品芝麻官	akap
年轻的时候	alkw
若为自由故	altd
坐看云起时	amcj
坐山观虎斗	amcw
工欲善其事	ampn
工业总产值	aodw
艺多不压身	aqgy
比尔·盖茨	aqua
花钱如流水	aqvh
七千人大会	aqwo
切尔诺贝利	aqyt
艾森豪威尔	ashq
从根本上讲	asjy
东印度公司	asln
若要人不知	aswc
ATM提现	atmg
ATM转账	atmm
某种程度上	atth
某种意义上	atxh
芝加哥大学	avai
哥们儿义气	awqe
工作积极性	awtn
从来也没有	axme
辛纳屈主义	axny
Baidu	badu
出工不出力	bagl
主观能动性	bcjn
降龙十八掌	bdfj
随地大小便	bfdw
列支敦士登	bfyw
舍得一身剐	bhgk
隔行如隔山	bhvm
出口转内销	bklq
出力不讨好	blgv
除非己莫为	bmll
随风潜入夜	bniy
联邦调查局	boyn
死亦为鬼雄	bpld
阿尔及利亚	bqeg
阿尔巴尼亚	bqjg
阿尔弗雷德	bqxh
金融IC卡	brim
主持并发言	bruy
阿拉伯数字	brwp
阿拉伯半岛	brwq
防患于未燃	bsfo
防患于未然	bsfq
主要表现在	bsgd
主要表现为	bsgl
金木水火土	bshf
金榜题名时	bsjj
主要是因为	bsjl
联系在一起	btdk
出乎我意料	btro
阿姆斯特丹	bvhm
阿姆斯特朗	bvhy
舍命陪君子	bwbb
联合国宪章	bwlx
联合收割机	bwns
文艺出版社	cabo
文艺女青年	cava
知耻而后勇	cbdc
毛主席语录	cblj
知耻近乎勇	cbrc
知子莫若父	cbsm
齐齐哈尔市	cckv
鲤鱼跳龙门	cclu
齐鲁乡情卡	ccxm
智慧的结晶	cdkj
马克思主义	cdl2
马克思主义	cdly
马达加斯加	cdvv
难于上青天	cfhg
海不可斗量	cgsj
文化大革命	chdw
通货膨胀率	chea
劲往一处使	chgw
China	chia
马基雅维利	chrt
马其诺防线	chyx
毛泽东思想	ciat
邓小平同志	ciff
邓小平理论	cify
智能ABC	cjac
这是为什么	cjlo
通常情况下	cjng
动口不动手	ckgc
知足者常乐	clfq
海内存知己	cmdl
这个过程中	cofs
这个世界上	cokh
这个情况下	cong
这个意义上	coxh
海军陆战队	cpbb
CPI增幅	cpib
知道不知道	cqgq
手扶拖拉机	crrs
柴可夫斯基	csah
这样的一些	cskc
这样的问题	cskj
这样的现象	cskl
这样的一个	csko
这样的一种	cskt
马丁路德金	cslb
马丁·路德	csuh
柴科夫斯基	ctah
此处不留爷	ctgm
这种情况下	ctng
毛里塔尼亚	cufg
马里兰大学	cuui
马六甲海峡	cuum
海阔凭鱼跃	cuwl
鸡蛋碰石头	cwdi
马绍尔群岛	cxqq
这就意味着	cyxp
大英博物馆	dafh
三年不开张	dagx
三年怕草索	danf
在这一点上	dcgh
在此基础上	dchh
大鱼吃小鱼	dckc
存在的问题	ddkj
三百六十五	ddus
存在即合理	ddvg
三十年河东	dfaa
三十年河西	dfas
硕士研究生	dfdp
太平洋保险	dfib
泰坦尼克号	dfnk
硕士生导师	dfpj
原教旨主义	dfxy
威武不能屈	dggn
存贷款业务	dhft
大眼瞪小眼	dhhh
碳水化合物	dhhn
威斯敏斯特	dhxn
大学毕业生	diap
石油天然气	dige
大学生村官	dipp
大江健三郎	diwy
大白于天下	dkfg
大男子主义	dlby
三思而后行	dldh
大恩不言谢	dlgy
原因就在于	dlyf
三分钟热度	dmql
三八妇女节	dmva
春风吹又生	dnkp
大炮打蚊子	dorb
故宫博物院	dpfb
百善孝为先	dpfe
研究所所长	dplh
泰安办事处	dplt
牵着鼻子走	dptk
胡锦涛同志	dqif
今夕是何年	dqja
贪多嚼不烂	dqko
克尔凯郭尔	dqmq
三岛由纪夫	dqna
布尔什维克	dqwd
破罐子破摔	drbr
在我们看来	drwx
在校大学生	dsdp
大中型企业	dseo
古籍出版社	dtbo
春种一粒粟	dtgs
克里斯托弗	duhx
克里姆林宫	duvp
达摩克利斯	dvdh
大人有大量	dwej
大意失荆州	dxrj
有苦说不出	eayb
两手都要硬	ecfd
具有重要的	eeqk
肥城办事处	eflt
对于我来说	efry
先下手为强	egcx
刑不上大夫	egha
有理由认为	egnl
月上柳梢头	ehsi
有没有一个	eieo
船小好掉头	eivi
脚踏两只船	elee
Enter	entr
开户许可证	eoyy
有鼻子有眼	etbh
两条腿走路	etel
服务不到位	etgw
脑筋急转弯	etqp
有效解决了	euqb
开始的时候	evkw
有什么样的	ewok
开什么玩笑	ewot
有什么区别	ewov
股份合作制	ewwl
先进工作者	exaf
Excel	excl
脸红脖子粗	exeo
有意思的是	exlj
先进生产力	expl
无巧不成书	fagh
十年怕井绳	fanx
埃菲尔铁塔	faqf
老年痴呆症	fauu
十年如一日	favj
十年磨一剑	favw
过了一会儿	fbgq
无出其右者	fbhf
勃列日涅夫	fbja
无知者无畏	fcfl
喜马拉雅山	fcrm
老大徒伤悲	fdhm
塔吉克斯坦	ffdf
博士研究生	ffdp
无声胜有声	ffef
二十一世纪	ffgx
二十四小时	fflj
博士生导师	ffpj
地理大发现	fgdg
霸王硬上弓	fgdx
无毒不丈夫	fgga
211工程	fggt
二一添作五	fgis
后不见来者	fgmf
十万八千里	fgmu
真正意义上	fgxh
平行四边形	fhle
后浪推前浪	firi
无脊椎动物	fisn
平时多流汗	fjqi
Flash	flah
过去完成时	flpj
十八大报告	fmde
十八大主题	fmdj
十八般武艺	fmea
十八般兵器	fmex
无风三尺浪	fndi
救民于水火	fnfo
无风不起浪	fngi
坏事行千里	fnhu
索尼爱立信	fnjw
坏事传千里	fnwu
土库曼斯坦	fojf
你out了	foub
无官一身轻	fpgl
老牛吃嫩草	fpka
十字军东征	fpph
老牛拉破车	fprl
地富反坏右	fprt
埃塞俄比亚	fpwg
赤道几内亚	fqng
索尔仁尼琴	fqwg
赫拉克利特	frdn
无可无不可	fsfs
需要不需要	fsgs
教科文组织	ftcx
无立锥之地	fuqf
真人不露相	fwgt
增值税发票	fwtb
墙倒众人推	fwwr
教育出版社	fybo
一年又一年	gaca
不比不知道	gagq
一切的一切	gaka
一比吓一跳	gakl
恶向胆边生	gbep
不出我所料	gbro
现金缴款单	gbxu
一步三回头	gcdi
更确切地说	gday
正确领导下	gddg
不在场证明	gdfj
一碗水端平	gdhf
麦克斯韦尔	gdhq
一码归一码	gdjd
正确的答案	gdkp
一百八十度	gdml
一顾倾人城	gdwf
青龙偃月刀	gdwv
一般情况下	geng
天助自助者	getf
一般意义上	gexh
一直到现在	gfad
一直到今天	gfag
一二三四五	gfds
瑞雪兆丰年	gfia
不远的将来	gfkx
不平等条约	gftx
一天比一天	ggag
一天又一天	ggcg
静不下心来	gggx
不正当竞争	ggiq
天下本无事	ggjn
恶虎不食子	ghgb
更上一层楼	ghgs
现代化建设	ghhy
天高皇帝远	ghkf
政治局委员	gink
政治局常委	gint
不能不说是	gjgj
一览众山小	gjwi
一次比一次	gkak
一朝被蛇咬	gkbk
一次又一次	gkck
正因为如此	gllc
更为重要的	glqk
Gmail	gmal
严父出孝子	gmbb
环保主义者	gmbf
天公不作美	gmgu
下则为河岳	gmlr
GMP认证	gmpy
不同程度上	gmth
一物降一物	gnbn
万事开头难	gnec
恶事行千里	gnhu
亚特兰蒂斯	gnuh
恶事传千里	gnwu
一个比一个	goao
一个又一个	goco
不会有什么	goeo
一个多小时	goqj
一个接一个	goro
一个半小时	govj
一定范围内	gpam
一定的冲击	gpkf
不完全统计	gpoy
不安定因素	gppg
一定条件下	gptg
天安门广场	gpuf
一定意义上	gpxh
一锤子买卖	gqbv
不久于人世	gqfk
不久的将来	gqkx
天然去雕饰	gqlh
更重要的是	gqsj
一批又一批	grcr
一棍子打死	gsbb
一样的对手	gskc
不可数名词	gsoy
不可信其无	gswf
严格意义上	gsxh
一鼻孔出气	gtbe
理想主义者	gtbf
一系列措施	gtbp
不管怎么说	gtky
灭自己威风	gtln
下笔如有神	gtvo
珠穆朗玛峰	gtym
一问三不知	gudc
亚里士多德	gufh
弄妆梳洗迟	gusn
一点都没有	gvfe
不信这个邪	gwcr
恶人先告状	gweu
责任追究制	gwtl
不结盟运动	gxjc
一亩三分地	gydf
一言以蔽之	gynp
理论和实践	gytl
不识好人心	gyvn
很黄很暴力	hahl
行到水穷处	haht
热烈的掌声	hbkf
很大一部分	hdgm
很大的问题	hdkj
斯大林格勒	hdmq
很大程度上	hdth
旧貌换新颜	heru
斯坦福大学	hfoi
得不到解决	hgau
虎毒不食子	hggb
南亚次大陆	hgkb
眼不见为净	hgmu
上下五千年	hgsa
斯德哥尔摩	hhav
行行出状元	hhbf
眼皮子底下	hhbg
斯皮尔伯格	hhqs
水往低处流	hhwi
斯洛文尼亚	hicg
长江三角洲	hidi
饱暖思淫欲	hjlm
律师事务所	hjnl
基本实现了	hjpb
上则为日星	hmlj
南卡罗来纳	hmlx
发展过程中	hnfs
水火不相容	hogp
很多很多的	hqhk
很多的东西	hqks
街道办事处	hqlt
很多情况下	hqng
德拉克洛瓦	hrdg
高校毕业生	hsap
皮笑肉不笑	htmt
高科技产品	htrk
货币供应量	htwj
很好很强大	hvhd
很傻很天真	hwhf
发人所未发	hwlh
书剑恩仇录	hwlj
长他人志气	hwwe
高级工程师	hxaj
南京大屠杀	hydj
德谟克利特	hydn
江东日暮云	iajc
小巫见大巫	iama
小隐隐于野	ibbu
沧海一声笑	icgt
小鱼吃虾米	icko
流动性风险	icnb
小马拉大车	icrl
温故而知新	iddu
学而时习之	idjp
学而优则仕	idww
IE浏览器	ieix
IELTS	iels
没有做不到	iewa
清水出芙蓉	ihba
汉化修正版	ihws
小资产阶级	ikux
小泉纯一郎	ikxy
法国大革命	ildw
治国平天下	ilfg
满足消费者	ilif
汉贼不两立	imgu
添雨跟打器	imlx
沙特阿拉伯	inbw
Intel	intl
学习和理解	intq
没事偷着乐	inwq
润物细无声	inxf
洞房花烛夜	ioay
小米加步枪	iovs
当刮目相待	iqhh
当刮目相看	iqhm
小概率事件	isaw
学术研讨会	isdo
治标不治本	isgj
法西斯主义	ishy
清醒的头脑	iske
波利尼西亚	itng
渭北春天树	iuds
少壮不努力	iugl
小别胜新婚	ivev
省市自治区	ivta
小人喻于利	iwkt
混合所有制	iwll
消费者协会	ixfo
消费者权益	ixfu
婆说婆有理	iyig
注册会计师	iyoj
温良恭俭让	iyry
汉语言文学	iyyi
照葫芦画瓢	jaab
录取通知书	jbch
电子化建设	jbhy
电子计算机	jbys
